discountID,code,type
QdMm5844-bWryDV,hvpq4856-wzPPzn,percentage
LCan3164-udkKzY,meuY8972-sKmDel,percentage
ETAE1092-irpFgU,XsJZ4430-yLkvYr,percentage
DYQg6030-XpZHmN,MeGR5272-WAkieF,percentage
tTTM5456-VtJUey,xWOh4021-btCiTI,percentage
HSEC5324-ecRjIQ,dfWR9016-TUkUWi,percentage
usim8477-uwElCy,RqPi8157-YVGKQi,percentage
RUdM1865-waNfny,ehMi9032-IdzAaj,percentage
Hjmv8930-GZmHnA,JJKr9467-ladBXq,percentage
mFAL2653-uhEsHk,TFnp7665-aGIgxO,percentage
oIsj6387-WSNepo,FocW4053-rZhPIq,percentage
WAnu2187-BYHBuI,TeOb1645-qwIaoo,percentage
dadj6320-lcTPfz,tkFf3488-eYBlVj,percentage
YjvN1914-dpXTDs,yMcU7412-mDVrzd,percentage
IMnF6712-sdxQmS,gzXq8483-lWXriV,percentage
WasZ5785-MAvujI,Fjvs5979-TVEBxY,percentage
DFQK1551-TsGetn,joRy9210-iuFWaO,percentage
QFVA3629-TLVABH,Xmeu0448-BdjHsi,percentage
sCvG9333-InyzVD,dCOT4011-sqQrXn,percentage
aqJt0010-ICenuH,YVVE8325-DHJKGD,percentage
YrHR2148-PmnNYN,caPg5148-frtkPu,percentage
wbZj1706-hZmZIB,ptDY0521-VCMurb,percentage
QMtl6543-Jeazgp,aMnG7209-VQQTyc,percentage
kOAw5364-vbZjFH,anJK5381-EvEMLb,percentage
gNTY1004-jKHMmR,OuBL0717-dwJxmH,percentage
kflS1446-ZgNqkL,ubFZ2766-cNMGsH,percentage
SIck0555-vSMYfJ,qwqZ5564-YZGwuB,percentage
pCzA5080-wzvRcU,gWgk1068-FQbeeM,percentage
rLOg8313-cAolwB,ZSZW0571-MpVUHP,percentage
xgIa5001-NJLltr,TspN0501-wfctEO,percentage
uxoX6788-VvsmVS,LRav3819-wonGPt,percentage
Zugu9101-Gyfpmf,MFMj9242-BfNwvE,percentage
ijzt6946-rPFqVL,MhTf4114-NGxCoo,percentage
Qmco8944-wptGwQ,PvDc0558-vriCoy,percentage
qgVH7797-nBxkBs,UGOS5406-tbBtZG,percentage
QEKa5317-tzmMUN,ZjVJ9305-MPhgjf,percentage
VnDC3192-IyAhWY,xbEd4576-fceKGh,percentage
coOX5780-UgFWsY,dZqU6040-vzhovD,percentage
bDXZ4505-ixSPAU,dFhm1170-NTCfYZ,percentage
arnT9578-HtMnuq,pWWO9367-nvUUgU,percentage
YGKB1135-unTSFA,BsCS0950-iYiAnE,percentage
AbxV9327-QfOVPd,xCOz0582-gIXDBj,percentage
onNs4109-CLDLGN,FWXj4772-QfidLk,percentage
SZRM4619-TVMxGG,qOpP6234-CxXsqJ,percentage
Rgzs3273-wdEmBX,Gelu9416-YPmBZV,percentage
fIBV2127-eBbNag,SpLa6202-CUYeBx,percentage
xUII1299-kXeFWz,hReg0231-wnvkhB,percentage
rnrz6185-IJnBll,JXnw7021-oHelag,percentage
AuSR2541-JdyDPP,OZOe1056-YZYptm,percentage
RSkE0796-wWQAFl,birB4924-OSyQNa,percentage
hZzE6372-zyFowR,vInH6388-nJfpSt,percentage
zEII5383-EVkpCD,Xguf0825-hYqZBM,percentage
UXGR6769-aWucga,eUNA1737-ynJCzA,percentage
CdAc4602-LwXZpY,dTvy0971-qOaxUS,percentage
ytmu6966-VgEjqL,cyqB7494-uWyDSX,percentage
BRej2631-xpgBeS,LmKx7395-dZdEwF,percentage
hxfz2191-TNUmsr,kPzl3456-vnFFjr,percentage
UPXU9454-knPDkd,GmNw5913-IWoGEZ,percentage
FEPz7110-YEmBzw,jNQD1647-Zqtsij,percentage
alMC4846-YUjwmK,ebHx3227-gFATaE,percentage
DNDj8920-PsarlL,NSmg1695-gEEQPe,percentage
Tebz3629-VaSVje,TApP1842-EszHuL,percentage
xNlB0011-zNxhzW,Acgu6422-STIkjo,percentage
DejE7309-VUMpyy,VNXt9161-XAiwiA,percentage
JqsQ0908-QexdTi,XpcE4957-MMlFWK,percentage
YmaU7112-giWlZn,rOhA2371-EVkfNq,percentage
PZxo1183-AMLNFg,Cmdf9634-RbSLSE,percentage
TcqJ8170-okOMoH,lvRw9080-lHvmzO,percentage
uTTu8444-AIQrnc,Ougq6469-VSoVGH,percentage
iUoi5101-AnLBeF,PgRF0728-QlhcGM,percentage
Iszk5928-HLtwzK,gHaP1653-PMMEwB,percentage
tjeP5588-ctueWP,PkCG0082-oZmwrt,percentage
NjbR7056-kTmhDe,yIcZ2461-iiQAcg,percentage
hkoi7696-vuylGF,TDuY4311-XaFehb,percentage
YXyq6292-yGWQlE,Bfyq7025-iZtaoJ,percentage
rwzZ1011-gfmLaS,XKnu7595-BCKrLx,percentage
YwWn6750-WgEgen,Oqoa3578-WUqzlO,percentage
vRjq1501-vCqJYf,UNvC1585-ePIlqu,percentage
HBPC2320-BPPGDc,epnr6657-Obawwn,percentage
HbzF8157-uqmBPl,YlMl1555-kZnUdV,percentage
BZxx2375-qLeMSL,slOC5143-GlcePK,percentage
qKQQ7351-zOOCzc,PUig8694-flFphm,percentage
rxIl9578-nvJoZb,DYBo2226-MReyuI,percentage
gOuy0009-flfXii,ySEK1328-jTfrJv,percentage
EbdS8638-fqPMDh,xNfF9541-ffkssx,percentage
CXhy9248-SYSLPZ,EsUa9377-uUMQFh,percentage
MXHC0624-tqQsjr,MaYZ1311-zjMlIc,percentage
wffZ6394-QxWuKA,HdMV7987-IolHHc,percentage
VMdf1052-IhojKb,mJUy5505-rkUpmU,percentage
Skni2672-sTLeun,vSBq0436-GiTdmB,percentage
qxWJ5771-CWhpEI,QCqW4442-vrsWuD,percentage
qJAP8836-oOsAaM,oTJO2795-HnQQyw,percentage
pTPx5242-oLOghr,VexX1067-DVcgXA,percentage
DbCH7034-eMTPVi,pUGg8809-jSYLlt,percentage
exTB5097-DFgAgA,eIEn4899-iYkWEe,percentage
uBOT5649-KRqtRl,WcIc1744-XIfiLG,percentage
sxFr5470-JLIyJU,xhuG8201-ePIwpa,percentage
wTde9707-bGwPsC,IekF0794-RdMwkR,percentage
NUfY4082-NpGNQR,jldY7913-dZHMQH,percentage
UXQD9970-maIMhG,qALb5841-wwhILa,percentage
fZcB5771-xirIvq,ZTmS4426-lnYwuZ,percentage
fLtV8299-VzQtTl,lMGV7620-PDBBrC,percentage
jGfV5292-kjyDXH,ZnOa6498-DKLFrZ,percentage
Dqaw6814-msEuas,bCdk8207-fIaOFp,percentage
kQaR8874-lqMpcO,NbGt5599-ItFKhI,percentage
PWan0746-iUtJJH,fFGI7491-PnrbxK,percentage
VMoB0146-OwTCdO,tFRu3701-QBYcpB,percentage
nPbV3576-oCahiB,ygGt4820-DCIhgU,percentage
srNu2467-wSUbxI,LKho3311-KVXWSn,percentage
Erno8811-SJDuXg,LHyh0276-WEmblH,percentage
olcp3530-kxKhRQ,oGvG6631-SCnLQr,percentage
MIAz0702-jXNxlZ,Boze0089-udOfVa,percentage
hCGK0132-UdhaHy,ehms5486-heaRdQ,percentage
uHNa1575-eErEXB,cNYQ6648-JGolsC,percentage
BngU7153-MjyPMY,QtJi4486-jLkJjx,percentage
YQnJ8006-TmPdjR,oybN3226-RmLJft,percentage
OmCe1617-iNmOaN,jrMZ6206-uvMbkU,percentage
DDRS1913-cwtfEd,pNTc0604-hXPViV,percentage
iQGm1087-mxmOcC,aebx5648-KSISbU,percentage
xMaQ4453-bwatcT,xdTD9267-bfKRrm,percentage
ZiBp6926-AnwGoQ,nrNP1784-XhhlqB,percentage
PQCl2320-xglLVy,pXIi2063-iayNjH,percentage
Slzz0560-GYuvUe,XOVD6886-xFWveM,percentage
vkUd4631-mQYvxE,pljg3824-GFVTnv,percentage
dgDc6858-eXioRJ,mXwO4010-mPhYMB,percentage
XnXj7465-rXCGRT,Pqpe2532-PcjsuK,percentage
QZAN3017-zBzsnJ,KQSm2663-kYlIJk,percentage
kMsO3938-lhZVBR,zhNj1525-ETlLLH,percentage
XZgw5541-OzeJGF,WZuL5642-QaNRlQ,percentage
XiwV5717-aXfXsT,qBdh9817-vAoefU,percentage
lKqh8032-BnYJic,nbRA9826-KFgdMn,percentage
bncf6471-DLovqB,wKTH2664-YmZNGi,percentage
iyuv6966-jmQDvB,FTeI4610-XYVzyx,percentage
euiU5181-dMLkOL,RneH4581-apYyWb,percentage
Qdkq7161-Gkicdq,uZWh0670-AfWRqo,percentage
OnHW4151-lqcmRn,XWgw1070-TnJWRI,percentage
OAPl9737-XzyskE,ipCa6947-NlWrxf,percentage
QVkb8886-JPTTHu,AQCJ0692-TfJVAi,percentage
bLWI6810-EyFApq,Qcru8412-IDJcSd,percentage
zDCQ7834-pLLDJq,NwYi6359-aMFsAy,percentage
sWQH6083-zlnwOn,rSxX1317-qNILXA,percentage
kcFi9235-mktUDH,yNfx1277-yTibYo,percentage
XZNi9008-ZryLDq,vlEm2622-lNJWcl,percentage
dtzG5707-AmWXyR,Yhwt7804-BbpwGk,percentage
guBB1148-jKOtyu,ddgx6417-RUpcXi,percentage
OnuL1893-cIpKNk,rDVK4053-TJFnbW,percentage
fqLu4060-TGnZXH,kdww1628-YEPAkU,percentage
hzEm4056-MUQmRv,ZIIG1278-cfbbKX,percentage
QxYJ2999-hAubCW,VRgy3267-KPMioP,percentage
eEmc2158-gQaTZY,oBrJ6532-NITMfZ,percentage
laim9988-tQWRMr,AkBg1190-lDJHPf,percentage
XHWR8620-vJfVHU,ufqK1172-RBNfbR,percentage
yGDi8846-FeIcqG,ieAS9826-IXMJIP,percentage
BtoH3369-jzoTkx,ZZer4401-howKwm,percentage
DwMa6797-hUUOrz,NGqg0096-QAaNZO,percentage
tNbD7374-ZRiejD,qDbZ1063-seQcZz,percentage
KFxv9332-WSjdfe,vvJF2264-epqBYh,percentage
Ztpg9561-HLfpGI,ONcX3292-DXsOJq,percentage
uimS1768-xdKpGm,yLrO8664-MXUbBX,percentage
fdiP5521-WFjoox,foFu9057-NPTKbF,percentage
OCaB9486-YvnUSd,qdFZ0490-iiqfbT,percentage
JLaJ1669-hDdBYE,HHtr8443-YXwwAD,percentage
OoKj5251-jmDGzU,WPSK5359-TEbcZk,percentage
mBta7835-nRUCAz,CjJh7760-fFGiop,percentage
DFZB4481-kHxtmz,VwMg2520-jlyxIk,percentage
qfSF9647-fVqTyL,pWuf2283-tdTSjc,percentage
vKNs9385-fmLpkD,Xjfi1571-UvRjBf,percentage
xPkp9683-DXgBQM,ebVE2746-TvMzTo,percentage
rPJf2227-gTxQTv,EQcC1661-Hrofqj,percentage
iwGV4237-NxkBWA,egGG9538-vduNFL,percentage
NLuk3931-kAWSLx,wxdU9523-aqSFCc,percentage
hNdS4755-YMpHMb,UGWG4953-HBLJZw,percentage
AfOK8720-wZBYJd,eRfA0022-dasZDm,percentage
ZvMw8192-gstKel,npuw4401-lctwNu,percentage
MmOM7344-OvQRWE,ZxFI4980-AjCQTb,percentage
hbTf8551-jTIKHJ,LLov7458-hNseHu,percentage
yooP6680-mYNFDm,VweR4122-JtpiEy,percentage
uKha3542-AwDcvq,UQZq7775-lzEsvt,percentage
euoM4677-EtIGMz,nGjS6734-sTvdkA,percentage
olHI6930-CzdWIF,CPXL7154-cRTygl,percentage
yhPm1100-usYAwP,zJOF3109-ptUaQH,percentage
vRWF8503-SeRKvk,SoqV7080-gLYesq,percentage
zpSE5162-RzVCVf,rjnI5743-RAWSvx,percentage
QgCt8107-zZIDGD,sHhE2559-XYyPLr,percentage
qOgm5844-dAnIDO,flHp5117-OdJDbS,percentage
tFAX8367-maiVoc,rxyx9622-xPpxRI,percentage
ByuU9013-uigIqQ,RXpj2351-PqRqxG,percentage
upab7539-YLfsyn,kJsT1226-lJJlzA,percentage
gtXN9998-tpABuf,hPPa7240-sSVsUN,percentage
bsuo7524-UzDJaz,unjX0957-dFAqgI,percentage
aDhY8661-xwBDNZ,sHTP9993-lLzrIS,percentage
VEdE7985-FosOOO,WxJG1116-jcAMxE,percentage
VnFt9169-EtKInd,rxxN9379-WGHaKk,percentage
zCcz7451-VDNTGK,iGTc7924-XTuBEe,percentage
uzxn3273-FEPGnN,KyZJ8719-zjLRaN,percentage
DfXv8930-vxSVLv,Bacw3913-ozratW,percentage
gdIc8341-sbiwal,HBas2884-fLvNrW,percentage
Rjom8199-RkCMsq,uBZE0759-RZDhyU,percentage
OIlr1472-GmqDAV,JfpP1581-zzZqaM,percentage
WPfU8707-VyfPde,JLZt4521-NjmMjn,percentage
BVPW9954-zDWYka,dpKg2016-hwXlXv,percentage
teHA2347-Eemdeu,yNfo2532-nqgeSG,percentage
XeUK0710-RjWHQh,XHOS8072-lVcmbL,percentage
lYaI6033-tUgHBT,eZpZ4979-jcjZNg,percentage
vnGl7722-ejSHYk,jYsc6790-OobWGN,percentage
TEnd2757-VoEBYU,qivm9985-ASRqFN,percentage
ISDs7741-ZKlhgQ,BTpJ5803-QWbFyO,percentage
dMpE6926-LrXZMH,IqHl7078-gdsyRc,percentage
NAEo6767-WuCkvc,mwlq0344-uevBtF,percentage
DZhV8351-WwWQwa,uCsV4005-ZPqfPI,percentage
MLXw3297-NrBJou,AdwG6554-NMQnSB,percentage
UlJv6033-kglyaK,yQyP1744-hmwAdd,percentage
rqbZ6074-YwkYQq,XYej8270-lUyuhR,percentage
SsRS0204-rLBUXI,ubtx2846-wqDkTO,percentage
ZPNM3943-ggWJsb,ezek9412-XsQzMr,percentage
vxuJ9538-wYIdYu,ckWH1565-Qdmwqe,percentage
hfTh1559-nxZNRS,TmTx9012-UeHuyo,percentage
TdyX1156-nMeDer,Hhmh3853-tExMvS,percentage
Vbfe2460-WtRzty,Vqrx4831-MXVzTV,percentage
AOfH3916-OZIADx,yzCD5239-SZwuJm,percentage
dhDG9583-nfqzpi,jxTp2560-AxMcxK,percentage
aQKa8730-hDjYpj,LHda8135-uibICo,percentage
wcBI9769-aERMAo,yuEa4488-mJDwvd,percentage
OdUC8615-vMMVNA,ZQiY9946-EjaMNE,percentage
KqSs2990-xuXfXA,bvre9631-cXCbSD,percentage
RqNY5136-rjvQRa,Zdtp2920-UJUvVD,percentage
Pvgp4023-eRaLCV,TSCM8896-kAUxeK,percentage
MaOJ5240-eRRbwn,qoGK8079-nNFzdm,percentage
vTqk2002-GPtlcI,aarE7146-nrliZN,percentage
hBtT5890-hyQloW,zaUZ6122-XxKKtk,percentage
ABNF2553-GDTORU,spAI3165-eblfIp,percentage
ILse4838-SKQhEs,bOoT1305-yUVUSf,percentage
rTAv2326-AinvUc,EOAk0050-XVOuKc,percentage
tMdt4245-ldIQgQ,GbPx5582-SbgInz,percentage
VFPg8661-ZCnntl,xYtq8097-lFfDlO,percentage
hgOo5087-wlEVPl,EmsN6825-YthRFc,percentage
FiTf4969-bujAgx,HJgc4711-qkIsxp,percentage
obOE4625-qpOlds,lwSV1052-xNiqjv,percentage
MzYS5292-dpchqE,kEcP7702-zxYPXG,percentage
UPnb3350-nHbmEV,UmZf5852-sfofpk,percentage
BRxg9120-hybVoc,xOrl5875-WZpyPr,percentage
dgBa4099-omSDWa,Awjc8737-Smuzff,percentage
mbTz5373-oqkifS,fLui9121-amGDYR,percentage
nvET2652-cyixAD,FhFZ1827-lFXbOv,percentage
dkvK6420-AoWTcE,sUrK7781-btNvet,percentage
UFLj6108-OwaSts,bvgy3625-EJWyWx,percentage
TquV9352-awUCHE,sQlT2696-dzLzbL,percentage
tJhY8391-sZYJzg,IRSM1646-iqAZnj,percentage
GzFF6709-uaBJjs,OjGg3512-BdETvX,percentage
cJcV5513-jPwxnh,pASI6257-JrBgqP,percentage
dGPF0437-rEPzYl,LlEi3366-eUgfJD,percentage
cKEd7986-ohiggZ,fmvb2272-oOwpjY,percentage
OlKe9605-xfOFOn,vdKl1587-zuSaoU,percentage
bwoT4337-mBJFEX,eNwL3047-nmmZZz,percentage
aTVD3241-WOncIH,IKNk8501-zzdOEx,percentage
vaTY6428-AGhEMb,BJzX3535-fQaaWy,percentage
neXn9535-JifFkD,jiwL7221-JKWlZP,percentage
HBjy9276-KUaWSf,rbwu6937-QNUAHA,percentage
CDgy5246-bNVcni,YlAH5815-JcMVvk,percentage
JpDh3400-bbOZAx,EEpe5910-ldAwyo,percentage
rPTx1399-OfpboQ,iuuS6012-fqDEPe,percentage
meaT9604-wiVWYF,ZHCq5722-CGxdDA,percentage
nWXv2189-DTfYlt,XEaP3553-SWGdPk,percentage
WNas3764-rzZniN,nkNc3654-MXibDV,percentage
fyOG2750-wCbpVU,ZHic6261-DzSQlN,percentage
iCcB6886-sSZDcr,jXKF3816-RJTJoT,percentage
Xazn7577-rxtVzq,PYzb5301-kMfzPF,percentage
jcLX5324-oxMkEX,zmIm6407-SCmFCf,percentage
mTge0410-VjuBYB,lGQK8694-NyhEcW,percentage
pTdm0443-VZwjHp,CHsM4745-jVfjCg,percentage
VNCF2313-kXosSS,RUft8793-nCOKnA,percentage
RdJD7687-BdDHEc,cITA5263-rLlsPk,percentage
kDxy8012-GVnZgN,Gsee8007-hgIwSl,percentage
ceww5696-XCDBKF,MTdW4381-qLpjHQ,percentage
bkBX4743-xzMiHV,EnoJ9618-mifgbq,percentage
BuQU7862-CzmVDS,Cylb1910-jrHqdu,percentage
llpW8837-aQgtAa,Foqj2175-xnJZuL,percentage
yLmQ2926-jbyOQd,ISjS1374-otKKAR,percentage
HJXp6883-HidnZn,AMsJ3420-WuueHh,percentage
gLWX5472-oHiqIw,oolE3314-rOzXQY,percentage
njOz3143-jldNLi,dwzY8535-IpyVMC,percentage
akxk2220-bMmazH,DgwG8868-nFYhMx,percentage
PdQz2296-IdGWDd,GcVi3639-wUHdhp,percentage
rmVo3371-OghWvg,FXro7219-KMldeL,percentage
HDCW3793-UodKVx,mUfh6367-cxDFZr,percentage
tnuP4118-iUlJhf,zIxk6536-tpmANn,percentage
zJfi4208-SQCzBy,LNzl0909-PjKPWi,percentage
QuMx1291-aocrUG,SnBk0050-MfPKHQ,percentage
jXlD7907-IkOxhZ,RSFv1426-FieikN,percentage
FqSS6730-dgKDmZ,MZds3356-nrGyTk,percentage
kfJm3677-pwjtRL,LRhF8052-VAeJMw,percentage
jOpH3338-HJQwkN,INDL7877-ZZSaJb,percentage
rLYD0868-AedkQp,fbPL1959-ovpqxp,percentage
vIfR5191-YPoDWz,cPgV0432-kYhCJO,percentage
oFQi1619-llASot,NQgt3925-qrIoji,percentage
IQXI3251-lbzYSu,lVUd3298-hFAYxU,percentage
mWbw4866-qGezzz,amdk9819-RerbnZ,percentage
oNzI2393-gAkNHt,WsrX5479-BOTuOl,percentage
AOmq1444-vLADAj,TQix3529-UbUbqf,percentage
UAGn0022-icEytn,eWdT6109-PMNlHA,percentage
CyNT9667-TGbOwX,iUEx4718-wqPuMi,percentage
zzol3983-SYUNuR,ZhOA4741-gSdwOH,percentage
EiHu5698-iFnbTX,jTpu9831-DKLHJs,percentage
BBgY0608-HCWKwl,kzEC3075-nHPYub,percentage
rINr8024-huYVoK,VAFX8214-cdBrsx,percentage
RsSY5813-sZfwxX,yEDr6844-EAYsGh,percentage
yaDm6405-ECoeVp,qJGW4187-Nzygic,percentage
Bfib0711-LWOpqv,pkgu2923-CDAbbo,percentage
lwUL7901-iuBetO,GrZA2813-kkbnil,percentage
kbpj2110-XGcwZk,ieiC2908-SOzxYN,percentage
PMMB9403-YrEJWj,Vcsk7174-zTbXOa,percentage
eypY8626-YziEcN,CNNM0474-JrBSdl,percentage
rdwb2711-TNqYWF,QCsK9594-tniuAJ,percentage
QQZw2353-iDkceB,wlSl7767-airDgM,percentage
ecxT8216-HeuJOJ,aFKq0865-cfpRSW,percentage
wPMb9480-AlUyAf,bjkN7979-VAGgDi,percentage
XSMB2875-wrbKjO,XHfJ7874-TRTspu,percentage
oONB3553-WsVMLs,pPoH8421-VGFsYe,percentage
aXzf6954-kJXNpx,JRit3980-Ilakln,percentage
bWBx8561-fmmrVd,mgkW9415-SUBXJy,percentage
NhdQ0337-BVHITJ,kNQA9662-ONtCHX,percentage
BxaF3268-UBlKyZ,OgXQ6375-YTmNEp,percentage
Rote1229-WbEJMI,cypS5376-tccway,percentage
qAJV3055-duatNG,Ufrj3862-eQMDzs,percentage
ELfL4954-ZmGsAN,qRsL7244-DATNWk,percentage
bGkE4204-eHwXlf,FKLy1859-JjmNBl,percentage
eLav0394-NEQnxt,doPn2694-AwmjfF,percentage
DDHm6729-LrAVlL,BXaf6880-uZwUAi,percentage
nmYi5345-vXvfKN,tDGe0292-lXcVDB,percentage
ZClv6561-lnkyaa,sccS5091-TIXFjs,percentage
uDpI3184-wUeEym,FgyW5376-cplDMd,percentage
MrPS0580-FYjGwV,mecn8142-eQvgiQ,percentage
yXhj6946-bgfNIz,GDFV8357-LVhOkP,percentage
oECl2556-hqiglc,JbyL9496-dzWrqT,percentage
oiNl0700-UcDDgU,bRPY3592-KUswKl,percentage
iwom6670-ULUeuT,Plfx4959-NqZcEr,percentage
ZtvM6951-RvCYix,dbTG7063-ZjvAOE,percentage
GiNN3782-wumQEc,oGmI8260-CCnKqL,percentage
mOxU9709-ziLqWK,HOsf1814-IztdAE,percentage
Qenm2979-hvKOgd,KgeL0424-MOlxrD,percentage
ONqI5578-axOyJx,Okup4842-iEdjnP,percentage
IFKg8207-OTXjKN,UtQY7215-EmfdbS,percentage
mHnd0222-uhpvuM,uWgu4939-hxtxXI,percentage
pazn5341-DJsaem,HyFr1308-KZcLGu,percentage
dZtE4186-FbglBu,udih4657-bDSYWd,percentage
Wzar9119-cuJwEo,fUHy4355-esPTmE,percentage
XBqP8007-MEmdQe,Fffe5694-bbgXFs,percentage
LepE9864-AfQDhP,idDj9494-iFMqov,percentage
vlqQ2855-ugpnPv,BPLr0598-cFmwjK,percentage
Iqfo9044-LSETHy,bjsy0250-LVNdDP,percentage
TwaC8091-YyzwyO,Dyxi9694-AXDDQc,percentage
hhuC2749-zkktis,krJF1937-FCfFDl,percentage
IyBY9619-JZxXft,TVdN9724-lQrxcQ,percentage
bRMY4868-VLToak,iqKf0598-lojeny,percentage
xLmR3503-lFCtox,EQOf1382-HQcraO,percentage
dvKK7299-CirAUi,EzIm6982-GHZkNX,percentage
BvvP4616-ypBJiY,utEM0399-QhFTcz,percentage
XRjW0282-DqzZzm,WvCK2084-kQFQHn,percentage
nBCE2201-UjCOCR,WXIN3792-iZBZUu,percentage
QKwc7621-MQnHjH,nZoQ6439-YvPkfd,percentage
SBCl9603-SpWmBu,fHbt1984-ERARid,percentage
WxeU3625-JsIXqr,Aysp6300-JcWAft,percentage
sYcH1417-UJBIxj,GprS2393-nvawdP,percentage
BTsR3670-INIHYu,XfzN3252-rhgiJw,percentage
NTqv6496-gvCgMu,IOcQ7562-sQPlIf,percentage
BTDK1787-xeMmns,HYZZ3150-KIfOIw,percentage
DPey8758-wCdMCt,YIuX7849-kdgVBw,percentage
nOfz6620-DmaCGD,SryH5101-TpmHID,percentage
WLWy4405-oCfBgU,Tcgw8822-yDJXom,percentage
jTWL5259-FYfTNe,TyzV9923-ttEoYU,percentage
ditg3343-fIHnzF,mBKS0730-tZiuee,percentage
aNKQ4204-ODqJZR,qLKF1200-PfAbnH,percentage
yHtd9977-TznsQP,rrxW3193-IhIbUk,percentage
WAIN6501-PVNaIu,XLtD0392-pWnwaW,percentage
QPJF2858-cQxkpS,RBXH4760-wojlPl,percentage
LYuI7563-zwVRlt,qekf4282-ZHoIqd,percentage
ZQZY6240-xDOAcA,OjBd9466-hXpcAa,percentage
sfGv8780-GGgtjG,oPxa1571-jTsmnJ,percentage
zfAv1962-yxkwfp,WCCz1974-KSIdlz,percentage
MSHL6474-xjcwVP,Wjon8511-tBaTzu,percentage
Xlcj9065-jhNsMw,gepR0727-rQJnzU,percentage
PpQD8386-gICPtI,AuHD5911-GuLlGi,percentage
sfxa8648-ZkQXar,nMYL8101-lCWFjJ,percentage
OgnO6628-lURbIH,kjIV8700-gEbICu,percentage
MJsu8027-cjgDQw,WXVS5159-OswaTa,percentage
wfgo8553-aERxDL,Aino8084-FGxZhX,percentage
byFn0272-mnedoD,GhmA7305-lWimWP,percentage
bPbu2908-SUPyuu,nHVm1873-dMQJnT,percentage
XrOq6341-AUAtgm,nXgQ1648-Djujho,percentage
eMPO6666-etfogI,Koga5854-LYGCSQ,percentage
sfyS6394-kqXIQC,WTCY3969-BlWAys,percentage
fDLL9661-ozvmuo,PtaW6811-PInvjH,percentage
gCdw3519-zExYAj,njaE2824-xBetJO,percentage
Iajd1659-cQSdrS,yKGn6814-opsGKh,percentage
lPlI5476-obdTbw,qXNB7398-pBErHc,percentage
BloT0611-PYyQfc,jwIA4629-xMyCsw,percentage
kCnK6823-pkxPRN,bITa1669-cqDfzm,percentage
jJOU5261-OnbDdy,YNHe6815-rqINrm,percentage
NIep1035-UBdXlJ,fNIZ4375-mpNVYk,percentage
SyaT7677-abbWrL,kPVU1766-qjtzMr,percentage
NJTT1794-pFRfAD,RVeA0971-CKZmnk,percentage
CGQD4509-DOlMBj,rvYD1782-TxzAtc,percentage
qNBu7840-gSBgel,dVUy4995-ebkDNS,percentage
KAYh7100-eoMaeZ,ypnB8391-aaptCs,percentage
GWfD6002-PyuaRN,yeaA1144-DJGUOj,percentage
PzMG9253-ZYgzEt,dqLI7303-HffEmh,percentage
rrRS5921-KIQAnt,TrCy6854-ZPMtvx,percentage
TOiV8560-gDCjgz,wIOz9805-hHepWm,percentage
TqEr2261-rSYaeR,ulSd9053-eacUWv,percentage
UpzN4854-NlTwsx,lXOU9176-AVxdxk,percentage
upFD6629-aFOBEM,acaz5250-AKfbRz,percentage
